측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
202001011300,100,도심권,111121,중구,42,32,34,0.007,0.033,0.7,0.003
202001011300,101,서북권,111181,은평구,38,28,24,0.008,0.029,0.7,0.003
202001011300,101,서북권,111191,서대문구,35,28,18,0.011,0.027,0.7,0.003
202001011400,100,도심권,111123,종로구,35,31,26,0.009,0.032,0.7,0.004
202001011400,100,도심권,111131,용산구,29,26,26,0.01,0.026,0.5,0.003
202001011400,100,도심권,111121,중구,40,34,34,0.006,0.032,0.7,0.003
202001011400,101,서북권,111181,은평구,40,31,25,0.01,0.028,0.7,0.003
202001011400,101,서북권,111191,서대문구,37,29,19,0.011,0.029,0.7,0.003
202001011500,100,도심권,111123,종로구,40,33,31,0.007,0.035,0.6,0.003
202001011500,100,도심권,111131,용산구,31,27,29,0.008,0.03,0.6,0.003
202001011500,100,도심권,111121,중구,43,36,38,0.006,0.035,0.6,0.003
202001011500,101,서북권,111181,은평구,41,33,27,0.008,0.031,0.7,0.003
202001011500,101,서북권,111191,서대문구,38,31,20,0.009,0.032,0.7,0.003
202001011600,100,도심권,111123,종로구,39,34,27,0.006,0.038,0.7,0.003
202001011600,100,도심권,111131,용산구,35,28,30,0.006,0.031,0.6,0.003
202001011600,100,도심권,111121,중구,41,37,35,0.006,0.034,0.6,0.003
202001011600,101,서북권,111181,은평구,39,35,25,0.004,0.036,0.7,0.003
202001011600,101,서북권,111191,서대문구,45,34,24,0.005,0.038,0.8,0.003
202001011700,100,도심권,111123,종로구,40,35,30,0.003,0.042,0.8,0.003
202001011700,100,도심권,111131,용산구,37,30,32,0.004,0.033,0.6,0.003
202001011700,100,도심권,111121,중구,40,38,36,0.003,0.037,0.7,0.003
202001011700,101,서북권,111181,은평구,44,36,30,0.004,0.037,0.7,0.003
202001011700,101,서북권,111191,서대문구,41,36,22,0.004,0.041,0.8,0.003
202001011800,100,도심권,111123,종로구,41,37,30,0.001,0.045,0.8,0.003
202001011800,100,도심권,111131,용산구,34,31,28,0.002,0.036,0.6,0.003
202001011800,100,도심권,111121,중구,40,38,34,0.002,0.04,0.6,0.003
202001011800,101,서북권,111181,은평구,42,37,29,0.002,0.039,0.7,0.003
202001011800,101,서북권,111191,서대문구,39,37,22,0.003,0.041,0.7,0.003
202001011900,100,도심권,111123,종로구,45,38,32,0.001,0.047,0.9,0.003
202001011900,100,도심권,111131,용산구,33,32,30,0.001,0.036,0.6,0.003
202001011900,100,도심권,111121,중구,40,39,32,0.002,0.042,0.6,0.003
202001011900,101,서북권,111181,은평구,42,38,27,0.001,0.041,0.7,0.003
202001011900,101,서북권,111191,서대문구,46,39,21,0.002,0.042,1,0.005
202001012000,100,도심권,111123,종로구,45,40,32,0.002,0.045,0.9,0.004
202001012000,100,도심권,111131,용산구,38,33,29,0.002,0.035,0.6,0.003
202001012000,100,도심권,111121,중구,42,39,35,0.001,0.042,0.6,0.003
